Airport Code,ICAO,Place
EHT,,Rentschler
EHU,ZHEC,Ezhou Huahu Airport
EIA,,Popondetta
EIB,EDGE,Eisenach
EIE,UNII,Eniseysk
EIH,YEIN,Einasleigh
EIK,URKE,Yeysk
EIL,PAEI,Eielson AFB
EIN,EHEH,Eindhoven Airport
EIS,TUPJ,Terrance B. Lettsome International Airport
EIY,LLEY,Ein Yahav
EJA,SKEJ,Variguies Airport
EJH,OEWJ,Wedjh Airport
EJN,ZBEN,Ejin Banner Taolai Airport
EJT,,Enijet
EKA,KEKA,Murray Field
EKB,UASB,Ekibastuz
EKD,YELK,Elkedra
EKE,,Ekereku
EKI,KEKM,Municipal
EKN,KEKN,Elkins
EKO,KEKO,Elko Airport
EKS,UHSK,Shakhtyorsk Airport
EKT,ESSU,Eskilstuna
EKX,KEKX,Elizabethtown
ELA,KELA,Eagle Lake
ELB,SKBC,San Bernado
ELC,YELD,Elcho Island Airport
ELD,KELD,South Arkansas Regional Airport
ELE,,El Real
ELF,HSFS,El Fasher Airport
ELG,DAUE,El Golea Airport
ELH,MYEH,North Eleuthera International Airport
ELI,PFEL,Elim Airport
ELJ,,El Recreo
ELK,KELK,Municipal
ELL,FAER,Ellisras
ELM,KELM,Elmira Corning Regional Airport
ELN,KELN,Bowers Field
ELO,SATD,Eldorado
ELP,KELP,El Paso International Airport
ELQ,OEGS,Prince Nayef bin Abdulaziz Regional Airport
ELR,WAJN,Elelim
ELS,FAEL,East London Airport
ELT,HETR,Tour Sinai City
ELU,DAUO,Guemar Airport
ELV,PAEL,Elfin Cove SPB
ELW,,Ellamar
ELX,,El Tigre
ELY,KELY,Yelland
ELZ,KELZ,Municipal
EMA,EGNX,East Midlands Airport
EMB,,Embarkadero
EMD,YEML,Emerald Airport
EME,EDWE,Emden
EMG,FAEM,Empangeni
EMI,AYEE,Emirau
EMK,PAEM,Emmonak Airport
EML,LSME,Emmen
EMM,KEMM,Kemerer
EMN,GQNI,Nema
EMO,AYEO,Emo
EMP,KEMP,Emporia
EMS,AYEB,Embessa
EMT,KEMT,El Monte
EMX,SAVD,El Maiten
EMY,HEMN,El Minya
ENA,PAEN,Kenai Municipal Airport
ENB,YEEB,Eneabba West
ENC,LFSN,Essey
END,KEND,Vance AFB
ENE,WATE,H. Hasan Aroeboesman Airport
ENF,EFET,Enontekio
ENG,WIGE,Enggano Airport
ENH,ZHES,Enshi Airport
ENI,RPEN,El Nido
ENJ,,El Naranjo
ENK,EGAB,Enniskillen St. Angelo
ENL,KENL,Municipal
ENN,PANN,Municipal
ENO,SGEN,Teniente Prim Alarcon
ENQ,,Coronel E Soto Cano AB
ENS,EHTW,Twente
ENT,PKMA,Enewetak Island
ENU,DNEN,Enugu Airport
ENV,KENV,Wendover
ENW,KENW,Kenosha Regional Airport
ENY,ZLYA,Ershilipu Airport
EOH,SKMD,Enrique Olaya Herrera Airport
EOI,EGED,Eday Airport
EOK,KEOK,Keokuk
EOR,SVED,El Dorado
EOS,,Neosho
EOZ,SVEZ,Elorza
EPA,SADP,El Palomar
EPG,NE69,Browns
EPH,KEPH,Ephrata
EPI,,Epi
EPL,LFSG,Mirecourt
EPN,,Epena
EPR,YESP,Esperance Airport
EPS,MDPO,Arroyo Barril International
EPT,AYEL,Eliptamin
EPU,EEPU,Parnu
EQS,SAVE,Esquel Airport
ERA,HCMU,Erigavo
ERB,YERN,Ernabella
ERC,LTCD,Erzincan Airport
ERD,UKDB,Berdyansk
ERE,AYEV,Erave
ERF,EDDE,Erfurt Airport
ERG,UIKE,Erbogachen Airport
ERH,GMFK,Moulay Ali Cherif Airport
ERI,KERI,Erie International Airport
ERL,ZBER,Eren Hot Airport
ERM,SSER,Comandante Kraemer
ERN,SWEI,Eirunepe
ERQ,YESE,Elrose Mine
ERR,KERR,Errol
ERS,FYWE,Eros Airport
ERT,,Erdenet
ERU,AYER,Erume
ERV,KERV,Kerrville
ERZ,LTCE,Erzurum Airport
ESA,,Esa'Ala
ESB,LTAC,Esenboga International Airport
ESC,KESC,Delta County Airport
ESD,KORS,Orcas Island Airport
ESE,MMES,Ensenada
ESF,KESF,Esler Field
ESG,SGME,Mariscal Estigarribia
ESH,EGKA,Shoreham
ESI,SBEP,Espinosa
ESK,LTBI,Eskisehir
ESL,URWI,Elista Airport
ESM,SETN,Esmeraldas Airport
ESN,KESN,Easton
ESO,E14,Espanola
ESP,KN53,Birchwood-Pocono
ESR,SCES,El Salvador
ESS,EDLE,Essen
EST,KEST,Municipal
ESU,GMMI,Essaouira Airport
ESW,KESW,State
ETB,KETB,West Bend
ETD,YEDA,Etadunna
ETE,HAMM,Genda Wuha
ETH,LLET,Eilat Airport
ETL,UHTQ,Svetlaya Airport
ETM,LLER,Ramon Airport
ETN,KETN,Municipal
ETR,SERO,Coronel Artilleria Victor Larrea Airport
ETS,KEDN,Municipal
ETZ,LFJL,Metz-Nancy-Lorraine Airport
EUA,NFTE,Kaufana
EUC,YECL,Eucla
EUE,05U,Eureka
EUF,KEUF,Weedon Field
EUG,KEUG,Eugene Airport
EUM,EDHN,Neumuenster
EUN,GMML,Hassan I Airport
EUO,,Paratebueno
EUQ,RPVS,Evelio Javier
EUX,TNCE,F D Roosevelt Airport
EVA,4TE8,Landing Strip
EVD,YEVA,Eva Downs
EVE,ENEV,Harstad/Narvik Airport Evenes
EVG,ESND,Sveg Airport
EVH,YEVD,Evans Head
EVM,KEVM,Eveleth
EVN,UDYZ,Zvartnots International Airport
EVV,KEVV,Evansville Regional Airport
EVW,KEVW,Evanston
EVX,LFOE,Evreux
EWB,KEWB,New Bedford Airport
EWD,,Wildman Lake
EWE,,Ewer
EWI,WABT,Enarotali
EWK,KEWK,City-County
EWN,KEWN,Coastal Carolina Regional Airport
EWO,FCOE,Ewo
EWR,KEWR,Newark Liberty International Airport
EXI,,SPB
EXM,YEXM,Exmouth Gulf
EXT,EGTE,Exeter International Airport
EYA,,Zeya Airport
EYK,USHQ,Beloyarsky Airport
EYL,GAYE,Yelimane
EYP,SKYP,El Yopal Airport
EYR,O43,Yerington
EYS,HKES,Eliye Springs
EYW,KEYW,Key West International Airport
EZE,SAEZ,Ministro Pistarini Airport
EZS,LTCA,Elazig Airport
EZV,USHB,Berezovo
FAA,GUFH,Faranah
FAB,EGLF,Farnborough
FAC,NTKF,Faaite
FAE,EKVG,Vagar Airport
FAF,KFAF,Felker AAF
FAG,BIFM,Fagurholsmyri
FAH,OAFR,Farah
FAI,PAFA,Fairbanks International Airport
FAJ,TJFA,Diego Jimenez Torres
FAK,2Z6,False Island
FAL,,Falcon State
FAM,KFAM,Regional
FAO,LPFR,Faro Airport
FAQ,AYFR,Freida River
FAR,KFAR,Hector International Airport
FAS,BIFF,Faskrudsfjordur
FAT,KFAT,Fresno Yosemite International Airport
FAU,OOFD,Fahud
FAV,NTGF,Fakarava Airport
FAY,KFAY,Fayetteville Regional Airport
FAZ,OISF,Fasa
FBA,SWOB,Fonte Boa
FBD,OAFZ,Faizabad Airport
FBE,SSFB,Francisco Beltrao
FBG,KFBG,Simmons AAF
FBK,PAFB,Ft Wainwright
FBL,KFBL,Municipal
FBM,FZQA,Lubumbashi International Airport
FBR,KFBR,Fort Bridger
FBS,W33,Friday Harbor SPB
FBY,KFBY,Municipal
FCA,KGPI,Glacier Park International Airport
FCB,FAFB,Ficksburg Sentra Oes
FCH,KFCH,Fresno-Chandler
FCM,KFCM,Flying Cloud Airport
FCN,ETMN,Cuxhaven/Nordholz
FCO,LIRF,Leonardo da Vinci-Fiumicino Airport
FCS,KFCS,Butts AAF
FCT,,Firing Center AAF
FCY,KFCY,Municipal
FDE,ENBL,Bringeland Airport
FDF,TFFF,Martinique Aime Cesaire International Airport
FDH,EDNY,Friedrichshafen Airport
FDK,KFDK,Frederick Municipal
FDR,KFDR,Municipal
FDU,FZBO,Bandundu
FDY,KFDY,Findlay
FEA,,Fetlar
FEB,VNSR,Sanfebagar
FEC,SDIY,Feira De Santana
FEG,UTFF,Fergana Airport
FEJ,SNOU,Feijo
FEK,DIFK,Ferkessedougou
FEL,ETSF,Fuerstenfeldbruck
FEN,SBFN,Fernando De Noronha Airport
FEP,KFEP,Albertus
FES,,San Fernando
FET,KFET,Municipal
FEW,,Warren AFB
FEZ,GMFF,Fes-Saiss Airport
FFA,KFFA,First Flight
FFD,EGVA,Fairford RAF Station
FFL,KFFL,Municipal
FFM,KFFM,Fergus Falls
FFO,KFFO,Patterson AFB
FFT,KFFT,Capital City
FFU,SCFT,Futaleufu
FGD,GQPF,Fderik
FGI,NSFI,Fagali I Airport
FGL,,Fox Glacier
FGR,,Fuengirola
FGU,NTGB,Fangatau
FHU,KFHU,Municipal
FHZ,NTKH,Fakahina
FIC,,Fire Cove
FID,0B8,Elizabeth Field
FIE,EGEF,Fair Isle
FIG,GUFA,Fria
FIH,FZAA,N'djili Airport
FIK,YFNE,Finke
FIL,KFOM,Municipal
FIN,AYFI,Finschhafen
FIV,,Five Finger
FIZ,YFTZ,Fitzroy Crossing
FJR,OMFJ,Al-Fujairah International
FKB,EDSB,Baden-Airpark
FKI,FZIC,Bangoka International Airport
FKJ,RJNF,Fukui
FKL,KFKL,Venango Regional Airport
FKN,KFKN,Municipal
FKQ,WASF,Fak Fak Airport
FKS,RJSF,Fukushima Airport
FLA,SKFL,Capitolio Airport
FLB,SNQG,Cangapara
FLC,,Falls Creek
FLD,KFLD,Fond Du Lac
FLF,EDXF,Schaferhaus
FLG,KFLG,Flagstaff Pulliam Airport
FLH,EGZR,Flotta
FLI,BIHT,Flateyri
FLJ,,Falls Bay
FLL,KFLL,Fort Lauderdale-Hollywood International Airport
FLM,SGFI,Filadelfia
FLN,SBFL,Hercilio Luz International Airport
FLO,KFLO,Florence Airport
FLP,KFLP,Flippin
FLR,LIRQ,Firenze-Peretola Airport
FLS,YFLI,Flinders Island Airport
FLT,FLT,Flat
FLU,,Flushing
FLV,KFLV,Sherman AAF
FLW,LPFL,Santa Cruz Airport
FLX,KFLX,Fallon Municipal Airport
FLY,YFIL,Finley
FLZ,WIMS,Ferdinand Lumban Tobing Airport
FMA,SARF,El Pucu Airport
FMC,,Five Mile
FME,KFME,Tipton AAF
FMG,,Flamingo
FMH,KFMH,Otis AFB
FMI,FZRF,Kalemie Airport
FMM,EDJA,Memmingen Allgau Airport
FMN,KFMN,Four Corners Regional Airport
FMO,EDDG,Munster Osnabruck International Airport
FMS,KFSW,Municipal
FMT,,Faresmathoda Airport
FMU,,Florence Municipal
FMY,KFMY,Page Field
FNA,GFLL,Lungi International Airport
FNB,EDBN,Neubrandenburg
FNC,LPMA,Madeira Airport
FND,,Funadhoo Airport
FNE,AYFA,Fane
FNG,DFEF,Fada Ngourma
FNH,HAFN,Fincha
FNI,LFTW,Garons Airport
FNJ,ZKPY,Pyongyang Sunan International Airport
FNK,,Fin Creek
FNL,KFNL,Municipalcipal Airport
FNR,PANR,SPB
FNT,KFNT,Bishop International Airport
FNU,LIER,Fenosu
FOA,EGFO,Foula
FOB,82CL,Fort Bragg
FOC,ZSFZ,Changle International Airport
FOD,KFOD,Fort Dodge Airport
FOE,KFOE,Forbes Field
FOG,LIBF,Gino Lisa
FOK,KFOK,Suffolk County
FOM,FKKM,Foumban
FON,MRAN,Fortuna Airport
FOO,WABF,Numfoor
FOP,,Morris AAF
FOR,SBFZ,Pinto Martins Airport
FOS,YFRT,Forrest
FOT,YFST,Forster
FOU,FOGF,Fougamou
FOX,,Fox
FOY,,Foya
FPO,MYGF,Grand Bahama International Airport
FPR,KFPR,St Lucie County
FPY,KFPY,Perry-Foley
FRA,EDDF,Frankfurt Airport
FRB,YFBS,Forbes
FRC,SIMK,Franca
FRD,KFHR,Friday Harbor Airport
FRE,AGGF,Fera Island Airport
FRG,KFRG,Republic Field
FRH,KFRH,Municipal
FRI,KFRI,Marshall AAF
FRK,FSSF,Fregate Island
FRL,LIPK,Luigi Ridolfi
FRM,KFRM,Fairmont
FRN,PAFR,Bryant AAF
FRO,ENFL,Flora Airport
FRP,,Fresh Water Bay
FRQ,AYFE,Feramin
FRR,KFRR,Front Royal-Warren County
FRS,MGMM,Santa Elena Airport
FRT,SCEV,Frutillar
FRU,UCFM,Manas International Airport
FRW,FBFT,Francistown Airport
FRY,KIZG,Fryeburg
FRZ,ETHF,Fritzlar Airbase
FSC,LFKF,Sud Corse Airport
FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field)
FSI,KFSI,Henry Post AAF
FSK,KFSK,Municipal
FSL,,Fossil Downs
FSM,KFSM,Fort Smith Regional Airport
FSN,,Haley AAF
FSP,LFVP,Saint Pierre Airport
FSS,EGQK,Kinloss
FST,KFST,Pecos County
FSU,KFSU,Fort Sumner
FSZ,RJNS,Shizuoka Airport
FTA,NVVF,Futuna Airport
FTE,SAWC,El Calafate Airport
FTI,NSFQ,Fitiuta
FTK,KFTK,Godman AAF
FTL,,Fortuna Ledge
FTU,FMSD,Marillac Airport
FTW,KFTW,Meacham Field
FTX,FCOO,Owando
FTY,KFTY,Fulton County
FUB,,Fulleborn
FUE,GCFV,Fuerteventura Airport
FUG,ZSFY,Fuyang Airport
FUJ,RJFE,Fukue Airport
FUK,RJFF,Fukuoka Airport
FUL,KFUL,Municipal
FUM,AYFU,Fuma
FUN,NGFU,Funafuti Atol International Airport
FUO,ZGFS,Fuoshan Airport
FUT,NLWF,Futuna Island
FVL,YFLO,Flora Valey
FVM,VRMR,Fumawula
FVR,YFRV,Forrest River Airport
FWA,KFWA,Fort Wayne International Airport
FWH,KNFW,Fort Worth NAS Jrb/Carswell Field
FWL,PAFW,Farewell
FWM,,Heliport
FXE,KFXE,Fort Lauderdale Executive Airport
FXM,,Flaxman Island
FXO,FQCB,Cuamba
FXY,KFXY,Municipal
FYJ,ZYFY,Fuyuan Dongji Airport
FYM,KFYM,Municipal
FYN,ZWFY,Fuyun Koktokay Airport
FYT,FTTY,Faya
FYU,PFYU,Fort Yukon Airport
FYV,KFYV,Municipal (Drake Field)
FZL,UBBF,Fuzuli International Airport
FZO,EGTG,Filton
GAA,,Guamal
GAB,KGAB,Gabbs
GAC,MHGS,Gracias
GAD,KGAD,Municipal
GAE,DTTG,Gabès Matmata International Airport
GAF,DTTF,Gafsa
GAG,KGAG,Gage
GAH,YGAY,Gayndah
GAI,KGAI,Montgomery County
GAJ,RJSC,Junmachi Airport
GAK,,Gakona
GAL,PAGA,Edward G. Pitka Sr. Airport
GAM,PAGM,Gambell Airport
GAN,VRMG,Gan/Seenu Airport
GAO,MUGT,Los Canos Airport
GAP,AYGP,Gusap
GAQ,GAGO,Gao
GAR,AYGI,Garaina
GAS,HKGA,Garissa
GAT,LFNA,Tallard
GAU,VEGT,Lokpriya Gopinath Bordoloi International Airport
GAV,,Gag Island
GAW,VYGG,Gangaw
GAX,FOGX,Gamba
GAY,VEGY,Gaya Airport
GAZ,AYGJ,Guasopa
GBA,EGBP,Big Bay
GBB,UBBQ,Gabala International Airport
GBC,AYGS,Gasuke
GBD,KGBD,Great Bend
GBE,FBSK,Sir Seretse Khama International Airport
GBF,AYNE,Negarbo
GBG,KGBG,Galesburg
GBH,PAGB,Galbraith Lake
GBI,MYGM,Auxiliary Airfield
GBJ,TFFM,Les Bases
GBK,GFGK,Gbangbatok
GBL,YGBI,Goulburn Island
GBM,,Garbaharey
GBO,,Baltimore Greenbelt T
GBP,YGAM,Gamboola
GBR,KGBR,Walter J. Koladza Airport
GBS,,Port Fitzroy
GBT,OING,Gorgon Airport
GBU,HSKG,Khashm El Girba
GBV,YGIB,Gibb River
GBW,YGIA,Ginbata Airport
GBZ,NZGB,Great Barrier Island
GCA,,Guacamaya
GCC,KGCC,Campbell County Airport
GCD,3W7,Grand Coulee Dam
GCH,OIAH,Gachsaran
GCI,EGJB,Guernsey Airport
GCJ,FAGC,Grand Central
GCK,KGCK,Garden City Municipal Airport
GCM,MWCR,Owen Roberts International Airport
GCN,KGCN,National Park
GCT,,Grand Canyon Bar 10 Airport
GCV,,Gravatai
GCW,K1G4,Grand Canyon West
GCY,KGCY,Municipal
GDA,,Gounda
GDB,VAGD,Gondia Airport
GDC,KGYH,Donaldson Center
GDD,YGDN,Gordon Downs
GDE,HAGO,Gode/Iddidole Airport
GDG,UHBI,Magdagachi
GDH,3Z8,Golden Horn Lodge SPB
GDI,FEGL,Gordil
GDJ,FZWC,Gandajika
GDL,MMGL,Don Miguel Hidal Y Costilla International Airport
GDM,KGDM,Municipal
GDN,EPGD,Gdansk Lech Walesa Airport
GDO,SVGD,Vare Maria
GDP,SNGD,Guadalupe
GDQ,HAGN,Gondar Airport
GDR,SDAG,Angra dos Reis Airport
GDT,MBGT,Grand Turk Island
GDV,KGDV,Dawson Community Airport
GDW,KGDW,Gladwin
GDX,UHMM,Magadan Airport
GDZ,URKG,Gelendzik Airport
GEA,NWWM,Noumea Magenta Airport
GEB,WAMJ,Gebe
GEC,LCGK,Gecitkale
GED,KGED,Sussex County
GEE,YGTO,George Town
GEF,AGEV,Geva Airstrip
GEG,KGEG,Spokane International Airport
GEI,,Green Islands
GEK,,Ganes Creek
GEL,SBNM,Sepe Tiaraju
GEM,FGMY,President Obiang Nguema International Airport
GEO,SYCJ,Cheddi Jagan International Airport
GER,MUNG,Rafael Cabrera Airport
GES,RPMR,General Santos International Airport
GET,YGEL,Geraldton Airport
GEV,ESNG,Gallivare Airport
GEW,AYGC,Gewoia
GEX,YGLG,Geelong
GEY,KGEY,South Big Horn County
GFA,,Malmstrom AFB
GFB,,Togiak Fish
GFD,KGFD,Pope Field
GFE,YGNF,Grenfell
GFF,YGTH,Griffith Airport
GFK,KGFK,Grand Forks International Airport
GFL,KGFL,Warren County
GFN,YGFN,Grafton Airport
GFO,SYBT,Bartica
GFR,LFRF,Granville
GFY,FYGF,Grootfontein
GGB,,Água Boa
GGC,FNBL,Lumbala
GGD,YGDS,Gregory Downs
GGE,KGGE,Georgetown
GGF,,Almeirim
GGG,KGGG,Gregg County Airport
GGH,,Gastão Mesquita Airport
GGJ,SSGY,Guaíra Airport
GGL,,Gilgal
GGM,HKKG,Kakamega Airport
GGN,DIGA,Gagnoa
GGO,DIGL,Guiglo
GGR,HCMW,Garoe
GGS,SAWR,Gobernador Gregores
GGT,MYEF,Exuma International Airport
GGW,KGGW,Glasgow International Airport
GHA,DAUG,Noumerate Airport
GHB,MYEM,Governor's Harbour Airport
GHC,MYBG,Great Harbour
GHE,,Garachine
GHF,EDQG,Giebelstadt
GHK,CGK2,Gahcho Kue Aerodrome
GHM,KGHM,Municipal
GHN,ZUGH,Guanghan
GHS,,Melak Airport
GHT,HLGT,Ghat
GHU,SAAG,Gualeguaychu
GHV,LRBV,Brașov-Ghimbav International Airport
GIB,LXGB,North Front Airport
GIC,YBOI,Boigu Island
GID,HBBE,Gitega
GIF,KGIF,Gilbert Field
GIG,SBGL,Galeao Antonio Carlos Jobim International Airport
GII,GUSI,Siguiri
GIL,OPGT,Gilgit Airport
GIM,,Miele Mimbale
GIR,SKGI,Girardot
GIS,NZGS,Gisborne Airport
GIT,HTRU,Geita
GIU,VCCS,Sigiriya Slaf Base
GIY,FAGI,Giyani
GIZ,OEGN,Jazan Regional Airport
GJA,MHNJ,Guanaja
GJL,DAAV,Jijel Ferhat Abbas Airport
GJM,SBGM,Guajara-Mirim
GJR,BIGJ,Gjogur
GJT,KGJT,Grand Junction Regional Airport
GKA,AYGA,Goroka Airport
GKD,LTFK,Gokceada
GKE,ETNG,Geilenkirchen
GKH,VNGK,Gorkha
GKK,VRMO,Kooddoo Airport
GKL,YGKL,Great Keppel Island
GKN,PAGK,Gulkana
GKO,,Kongoboumba
GKT,KGKT,Gatlinburg
GLA,EGPF,Glasgow International Airport
GLB,,San Calos Apache
GLC,HAGL,Geladi
GLD,KGLD,Renner Field
GLE,KGLE,Municipal
GLF,MRGF,Golfito Airport
GLG,YGLE,Glengyle
GLH,KGLH,Greenville Airport
GLI,YGLI,Glen Innes
GLK,HCMR,Galcaio
GLL,ENKL,Klanten Airport
GLM,YGLO,Glenormiston
GLN,GMAG,Goulimime Airport
GLO,EGBJ,Gloucestershire
GLP,AYUP,Gulgubip
GLQ,,Glennallen
GLR,KGLR,Otsego County
GLS,KGLS,Scholes Field
GLT,YGLA,Gladstone Airport
GLU,VQGP,Gelephu Airport
GLV,PAGL,Golovin Airport
GLW,KGLW,Municipal
GLX,WAMA,Galela
GLY,,Goldsworthy
GLZ,EHGR,Gilze-Rijen
GMA,FZFK,Gemena
GMB,HAGM,Gambela Airport
GMC,,Guerima
GMD,GMMB,Ben Slimane
GME,UMGG,Gomel Airport
GMI,AYGT,Gasmata Island
GMM,FCOG,Gamboma
GMN,NZGM,Greymouth
GMO,DNGO,Gombe Lawanti International Airport
GMP,RKSS,Gimpo International Airport
GMQ,ZLGL,Golog Maqin Airport
GMR,NTGJ,Gambier Island
GMS,SNYW,Guimaraes
GMT,PAGZ,Granite Mountain
GMU,KGMU,Greenville Downtown
GMV,UT25,Monument Valley
GMZ,GCGM,La Gomera Airport
GNA,UMMG,Grodno Airport
GNB,LFLS,Grenoble-Isere Airport
GND,TGPY,Maurice Bishop International Airport
GNF,,Gansner Field
GNG,KGNG,Gooding
GNI,RCGI,Green Island
GNJ,UBBG,Ganja International Airport
GNM,SNGI,Guanambi
GNN,HAGH,Ghinnir
GNR,SAHR,General Roca
GNS,WIMB,Gunungsitoli Airport
GNT,KGNT,Milan
GNU,GNU,Goodnews Bay
GNV,KGNV,Gainesville Regional Airport
GNY,LTCS,Sanliurfa GAP Airport
GNZ,FBGZ,Ghanzi
GOA,LIMJ,Genoa Cristoforo Colombo Airport
GOB,HAGB,Goba
GOC,AYGX,Gora
GOE,AYGL,Gonalia
GOF,,Goodfellow AFB
GOG,FYGB,Gobabis
GOH,BGGH,Nuuk Airport
GOI,VOGO,Dabolim Airport
GOJ,UWGG,Nizhny Novgorod International Airport
GOK,KGOK,Guthrie
GOL,K4S1,State
GOM,FZNA,Goma Airport
GON,KGON,New London
GOO,YGDI,Goondiwindi
GOP,VEGK,Gorakhpur Airport
GOQ,ZLGM,Golmud Airport
GOR,HAGR,Gore
GOS,,Gosford
GOT,ESGG,Goteborg Landvetter Airport
GOU,FKKR,Garoua Airport
GOV,YPGV,Nhulunbuy Airport
GOX,VOGA,Mopa Airport
GOY,UNIT,Tura Airport
GOZ,LBGO,Gorna Oriahovitsa
GPA,LGRX,Araxos Airport
GPB,SSGG,Tancredo Thomaz Faria
GPD,YGON,Mount Gordon Mine
GPI,SKGP,Guapi Airport
GPL,MRGP,Guapiles
GPN,YGPT,Garden Point
GPO,SAZG,General Pico
GPS,SEGS,Baltra Airport
GPT,KGPT,Gulfport-Biloxi International Airport
GPZ,KGPZ,Grand Rapids
GQQ,KGQQ,Galion
GRA,,Gamarra
GRB,KGRB,Austin Straubel International Airport
GRC,,Grand Cess
GRD,KGRD,Greenwood
GRE,KGRE,Municipal
GRF,KGRF,Gray AAF
GRG,OAGZ,Gardez
GRH,,Garuahi
GRI,KGRI,Grand Island Airport
GRJ,FAGG,George Airport
GRK,KGRK,Robert Gray Army Airfield
GRL,AYGG,Garasa
GRM,KCKC,Devils Track
GRN,KGRN,Gordon
GRO,LEGE,Girona-Costa Brava Airport
GRP,SWGI,Gurupi
GRQ,EHGG,Eelde Airport
GRR,KGRR,Gerald R. Ford International Airport
GRS,LIRS,Baccarini
GRT,,Gujrat
GRU,SBGR,Sao Paulo-Guarulhos International Airport
GRV,URMG,Groznyy Airport
GRW,LPGR,Graciosa Island Airport
GRX,LEGR,Granada Airport
GRY,BIGR,Grimsey
GRZ,LOWG,Graz Airport
GSA,WBKN,Long Pasia
GSB,KGSB,Seymour Johnson AFB
GSC,YGSC,Gascoyne Junction
GSE,ESGP,Gothenburg City Airport
GSH,KGSH,Goshen
GSI,SOGS,Guadalcanal
GSJ,MGSJ,Puerto San Jose
GSL,CFA7,Taltheilei Narrows
GSM,OIKQ,Dayrestan Airport
GSN,YMGN,Mount Gunson
GSO,KGSO,Piedmont Triad International Airport
GSP,KGSP,Greenville-Spartanburg International Airport
GSQ,HEOW,Shark Elowainat
GSR,HCMG,Gardo
GSS,FASE,Sabi Sabi
GST,PAGS,Gustavus Airport
GSU,HSGF,Gedaref
GSV,,Saratov Gagarin Airport
GSY,,Binbrook
GTA,AGOK,Gatokae Aerodrom
GTB,,Genting
GTC,,Green Turtle
GTE,YGTE,Alyangula Airport
GTF,KGTF,Great Falls International Airport
GTG,KGTG,Municipal
GTI,EDCG,Guettin
GTK,,Sungei Tekai
GTN,NZGT,Glentanner
GTO,WAMG,Tolotio Airport
GTP,KSXT,Grants Pass
GTR,KGTR,Golden Triangle Regional Airport
GTS,YTGT,Granites
GTT,YGTN,Georgetown Airport
GTW,LKHO,Holesov
GTY,W05,Gettysburg
GTZ,HTGR,Kirawira B
GUA,MGGT,La Aurora International Airport
GUB,MMGR,Guerrero Negro
GUC,KGUC,Gunnison Airport
GUD,GAGM,Goundam
GUE,,Guriaso
GUF,KJKA,Edwards
GUG,AYGF,Guari
GUH,YGDH,Gunnedah
GUI,SVGI,Guiria
GUJ,SBGW,Guaratingueta
GUL,YGLB,Goulburn
GUM,PGUM,A.B. Won Pat International Airport
GUN,,Gunter AFB
GUO,MHJI,Gualaco
GUP,KGUP,Senator Clark
GUQ,SVGU,Guanare
GUR,AYGN,Gurney Airport
GUS,KGUS,Grissom AFB
GUT,ETUO,Guetersloh
GUU,BIGF,Grundarfjordur
GUV,AYML,Mougulu
GUW,UATG,Atyrau Airport
GUX,VAGN,Guna
GUY,KGUY,Guymon
GUZ,SNGA,Guarapari
GVA,LSGG,Geneve Airport
GVE,KGVE,Municipal
GVI,AYGV,Green River
GVL,KGVL,Lee Gilmer Memorial
GVN,UHKM,May-Gatka
GVP,YGNV,Greenvale
GVR,SBGV,Governador Valadares Airport
GVT,KGVT,Majors Field
GVW,,Richards-Gebaur
GVX,ESSK,Sandviken
GWA,VYGW,Gwa
GWD,OPGD,Gwadar Airport
GWE,FVTL,Gweru
GWL,VIGR,Gwalior Airport
GWN,,Gnarowein
GWO,KGWO,Leflore
GWS,KGWS,Glenwood Springs
GWT,EDXW,Westerland - Sylt Airport
GWV,WV66,Glendale
GWY,EICM,Carnmore
GXA,,Beringin Airport
GXF,OYSY,Seiyun
GXG,FNNG,Negage
GXH,ZLXH,Gannan Xiahe Airport
GXM,WAGA,Kuala Kurun
GXQ,SCCY,Ten. Vidal
GXX,FKKJ,Yagoua
GXY,KGXY,Weld County
GYA,SLGY,Guayaramerin Airport
GYB,,Wodgina Airport
GYD,UBBB,Heydar Aliyev International Airport
GYE,SEGU,Jose Joaquin de Olmedo Airport
GYG,UEMM,Magan Airport
GYI,HRYG,Gisenyi
GYL,YARG,Argyle
GYM,MMGM,Gen Jose M Yanez
GYN,SBGO,Santa Genoveva Airport
GYO,WIMG,Bandar Udara Senubung
GYP,YGYM,Gympie
GYR,KGYR,Litchfield
GYS,ZUGU,Guang Yuan Airport
GYU,ZLGY,Guyuan Liupanshan Airport
GYY,,Gary/Chicago International
GYZ,YGRM,Gruyere Mine Airport
GZA,LVGZ,Gaza - Yaser Arafat International Airport
GZG,ZUGZ,Garze Gesar Airport
GZI,OAGN,Ghazni
GZM,,Gozo Heliport
GZO,AGGN,Gizo Airport
GZP,LTFG,Gazipasa Airport
GZT,LTAJ,Gaziantep Airport
GZW,OIIK,Ghazvin
HAA,ENHK,Hasvik Airport
HAB,KHAB,Marion County
HAC,RJTH,Hachijo Jima Airport
HAD,ESMT,Halmstad Airport
HAE,,Havasupai
HAF,KHAF,Half Moon
HAH,FMCH,Prince Said Ibrahim Internatonal Airport
HAI,KHAI,Dr Haines
HAJ,EDDV,Hannover Airport
HAK,ZJHK,Haikou Airport
